epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.855714,0.81917,0.5,1,0.64199,0,0,0
2,1.6593,0.83205,0.5,1,0.63114,1.61199e-05,1.61199e-05,1.61199e-05
3,2.20674,0.84523,0.5,1,0.61744,3.11396e-05,3.11396e-05,3.11396e-05
4,2.72847,0.765,0.5,1,0.59121,4.5059e-05,4.5059e-05,4.5059e-05
5,3.25839,0.85098,0.5,1,0.55887,5.78782e-05,5.78782e-05,5.78782e-05
6,3.77363,0.70331,1,1,0.52377,6.95973e-05,6.95973e-05,6.95973e-05
7,4.35178,0.68729,1,1,0.4813,8.0216e-05,8.0216e-05,8.0216e-05
8,4.98565,0.6226,1,1,0.44531,8.97346e-05,8.97346e-05,8.97346e-05
9,5.59627,0.62129,1,1,0.40844,9.8153e-05,9.8153e-05,9.8153e-05
10,6.1454,0.57347,1,1,0.37874,0.000105471,0.000105471,0.000105471
11,6.67549,0.49746,1,1,0.34434,0.000111689,0.000111689,0.000111689
12,7.26616,0.42954,1,1,0.31029,0.000116807,0.000116807,0.000116807
13,7.85593,0.46292,1,1,0.27646,0.000120824,0.000120824,0.000120824
14,8.44581,0.39347,1,1,0.24239,0.000123741,0.000123741,0.000123741
15,8.98825,0.42504,1,1,0.20844,0.000125558,0.000125558,0.000125558
16,9.56261,0.37014,1,1,0.18339,0.000126275,0.000126275,0.000126275
17,10.208,0.36897,1,1,0.15881,0.000125892,0.000125892,0.000125892
18,10.8126,0.31895,1,1,0.13933,0.000124408,0.000124408,0.000124408
19,11.4364,0.29298,1,1,0.11932,0.000121824,0.000121824,0.000121824
20,12.0293,0.27019,1,1,0.10666,0.00011814,0.00011814,0.00011814
21,12.7977,0.26725,1,1,0.09543,0.000113356,0.000113356,0.000113356
22,13.3849,0.22017,1,1,0.08578,0.000107471,0.000107471,0.000107471
23,13.968,0.25025,1,1,0.07775,0.000100487,0.000100487,0.000100487
24,14.5225,0.19544,1,1,0.07204,9.24018e-05,9.24018e-05,9.24018e-05
25,15.0667,0.1872,1,1,0.06859,8.32166e-05,8.32166e-05,8.32166e-05
26,15.5975,0.18961,1,1,0.06502,7.29312e-05,7.29312e-05,7.29312e-05
27,16.1225,0.17613,1,1,0.06093,6.15456e-05,6.15456e-05,6.15456e-05
28,16.6753,0.15453,1,1,0.05923,4.90598e-05,4.90598e-05,4.90598e-05
29,17.2343,0.15998,1,1,0.05706,3.54738e-05,3.54738e-05,3.54738e-05
30,17.781,0.18735,1,1,0.05573,2.07875e-05,2.07875e-05,2.07875e-05
